[04-06-24 12:39:02.633979] Statistic gathering started
TIME	EVENT	CALLCNT	FILLCNT	AVGSIZE	MAXSIZE	AVGFULL	MAXFULL	AVGDLL	MAXDLL	AVGTRIP	MAXTRIP	AVGTEAP	MAXTEAP	AVGTSMR	MAXTSMR	MINTSMR
[12:39:02.634084]	OTHER	581	15	0	4	6	10	0	6	10	6	9	7	125	4	9
[12:39:02.634237]	OTHER	290	21	1	7	4	2	10	4	5	7	9	4	147	4	6
[12:39:02.634371]	ORDER	379	46	6	7	9	9	1	7	0	9	1	6	108	3	9
[12:39:02.634449]	ORDER	490	47	0	2	5	10	5	1	6	2	9	7	158	8	3
[12:39:02.634579]	QUEUE	263	42	4	8	1	5	9	2	2	0	0	8	113	7	8
[12:39:02.634659]	OTHER	481	69	2	0	5	2	8	0	0	0	7	3	109	0	9
[12:39:02.634731]	OTHER	551	6	2	3	7	10	10	3	4	2	0	5	107	8	7
[12:39:02.634802]	OTHER	568	5	5	3	3	9	7	6	2	7	2	9	110	0	9
[12:39:02.634876]	QUEUE	578	37	3	8	6	0	3	1	10	1	4	0	126	6	2
[12:39:02.634960]	QUEUE	585	46	2	0	9	9	3	4	10	6	6	6	134	5	9
[12:39:02.635063]	ORDER	261	55	7	1	0	4	4	2	1	6	8	0	143	3	1
[12:39:02.635217]	QUEUE	272	28	3	9	9	5	4	2	7	7	10	5	105	10	7
[12:39:02.635287]	OTHER	212	59	0	4	9	1	5	1	9	1	2	3	126	4	8
[12:39:02.635385]	OTHER	444	56	0	5	8	4	0	8	5	3	6	3	189	2	6
[12:39:02.635527]	ORDER	209	30	10	6	2	5	2	1	0	4	6	5	104	6	6
[12:39:02.635594]	ORDER	508	25	8	4	7	3	0	7	1	6	0	9	141	1	1
[12:39:02.635697]	OTHER	357	18	0	8	0	3	5	9	0	4	7	2	105	6	10
[12:39:02.635770]	QUEUE	398	18	0	10	8	6	5	8	5	5	2	8	143	8	1
[12:39:02.635871]	QUEUE	553	17	10	2	1	10	3	4	8	1	2	0	125	9	0
[12:39:02.635955]	OTHER	293	25	6	2	8	0	4	2	9	1	8	7	127	10	3
[12:39:02.636043]	QUEUE	576	65	0	8	6	10	8	10	8	9	3	8	146	7	4
[12:39:02.636153]	QUEUE	268	9	3	6	0	1	8	6	10	0	6	2	138	3	5
[12:39:02.636248]	ORDER	239	44	0	7	2	1	3	4	9	0	6	1	195	1	2
[12:39:02.636405]	OTHER	228	19	2	1	2	10	8	1	4	5	1	10	129	3	1
[12:39:02.636502]	ORDER	251	93	9	8	5	8	10	9	9	0	6	4	123	8	4
[12:39:02.636588]	OTHER	514	96	7	10	5	1	1	3	10	8	0	3	154	8	9
[12:39:02.636703]	ORDER	401	27	1	7	0	1	9	9	7	7	2	10	158	9	1
[12:39:02.636816]	ORDER	329	59	0	3	8	10	4	0	10	1	7	6	110	4	6
[12:39:02.636887]	QUEUE	265	9	10	8	5	5	0	9	3	8	9	0	124	0	6
[12:39:02.636975]	QUEUE	488	53	6	10	9	8	7	9	4	5	9	7	116	5	9
[12:39:02.637053]	OTHER	256	66	3	4	10	8	9	2	5	1	3	5	181	5	1
[12:39:02.637186]	OTHER	365	97	8	10	10	7	10	3	4	9	2	1	125	7	5
[12:39:02.637274]	ORDER	496	92	0	2	6	3	7	4	1	6	2	8	142	6	2
[12:39:02.637386]	QUEUE	378	14	0	0	5	10	1	1	2	1	9	1	105	3	1
[12:39:02.637451]	QUEUE	514	23	1	10	9	10	0	3	5	2	0	7	120	5	5
